#1.zgrid 2.gxx 3.gxy 4.gyy 5.gBfield
-1.000000000000000000e+00 2.696281480130530372e+00 2.547881709479523860e+00 3.217446083283590497e+00 1.477646500230239468e+00
-9.947916666666666297e-01 2.688931698531115355e+00 2.615341110983427697e+00 3.355386498698289977e+00 1.477293551294074581e+00
-9.895833333333333703e-01 2.667587188554322530e+00 2.667527140751402293e+00 3.484438357486298266e+00 1.476259445842598383e+00
-9.843750000000000000e-01 2.632957227876660422e+00 2.703807301999261004e+00 3.602397493826078101e+00 1.474579496742706386e+00
-9.791666666666666297e-01 2.586885343004410753e+00 2.725227529865983822e+00 3.708919036513201206e+00 1.472305410708579787e+00
-9.739583333333333703e-01 2.530539340058397535e+00 2.732086358995871489e+00 3.803013916581321041e+00 1.469483054877623651e+00
-9.687500000000000000e-01 2.465457174096228332e+00 2.725372563176907015e+00 3.884591413849317831e+00 1.466164236318773906e+00
-9.635416666666666297e-01 2.393156503831372461e+00 2.705984053926714594e+00 3.953342116277240414e+00 1.462400937538599788e+00
-9.583333333333333703e-01 2.315661257480555957e+00 2.675842715017774154e+00 4.010357959335152600e+00 1.458251074175667350e+00
-9.531250000000000000e-01 2.233794573630819791e+00 2.635705296138891374e+00 4.056037631366492313e+00 1.453758207787984258e+00
-9.479166666666666297e-01 2.149383190353598483e+00 2.587348876876047310e+00 4.091362175928188627e+00 1.448975893656388125e+00
-9.427083333333333703e-01 2.063492700389848000e+00 2.531528488508196340e+00 4.116138738110688422e+00 1.443947996057626471e+00
-9.375000000000000000e-01 1.976938989393984603e+00 2.470306863547696352e+00 4.133820786274166714e+00 1.438713170692796028e+00
-9.322916666666666297e-01 1.891189455186088830e+00 2.404744043024457767e+00 4.144052039425768719e+00 1.433315619254425188e+00
-9.270833333333333703e-01 1.806611966518812507e+00 2.335502373286745925e+00 4.147621034990859101e+00 1.427785198275349554e+00
-9.218750000000000000e-01 1.723766443728701914e+00 2.263706049468977355e+00 4.146083733196381793e+00 1.422151566534008982e+00
-9.166666666666666297e-01 1.643331533019734447e+00 2.190448431449028899e+00 4.140598417656466523e+00 1.416443317563066406e+00
-9.114583333333333703e-01 1.565726030258468127e+00 2.116348134417713300e+00 4.131603671877654982e+00 1.410684289367974076e+00
-9.062500000000000000e-01 1.490714263235854098e+00 2.041669121827576205e+00 4.120257495949699589e+00 1.404889302619030556e+00
-9.010416666666666297e-01 1.419096297332988588e+00 1.967316919410586173e+00 4.106675148952124488e+00 1.399082424427174010e+00
-8.958333333333333703e-01 1.350493685170412350e+00 1.893578537055245814e+00 4.092465844837298583e+00 1.393272771499076468e+00
-8.906250000000000000e-01 1.285102173566003758e+00 1.820745638582396797e+00 4.077652053201431315e+00 1.387474263834876487e+00
-8.854166666666666297e-01 1.223046614908208651e+00 1.749367959869193134e+00 4.063115782668469400e+00 1.381698872193109606e+00
-8.802083333333333703e-01 1.164151849169875685e+00 1.679369714741592245e+00 4.048897479517629350e+00 1.375953847724589396e+00
-8.750000000000000000e-01 1.108310647802666304e+00 1.611023108500445389e+00 4.035843770839541378e+00 1.370245728452365919e+00
-8.697916666666667407e-01 1.055448646858222705e+00 1.544351342681667738e+00 4.023976610094091910e+00 1.364580452912349307e+00
-8.645833333333333703e-01 1.005404630137292088e+00 1.479450353707552290e+00 4.013856635509974957e+00 1.358961774597065908e+00
-8.593750000000000000e-01 9.581854259971933629e-01 1.416593504380539992e+00 4.005920016780274651e+00 1.353394643102527883e+00
-8.541666666666667407e-01 9.137372913943961894e-01 1.355648008493635981e+00 3.999583398160706516e+00 1.347882441903399453e+00
-8.489583333333333703e-01 8.716755664000723769e-01 1.296624003478552334e+00 3.996139833990052015e+00 1.342424471091299587e+00
-8.437500000000000000e-01 8.319212358705734278e-01 1.239730398753837726e+00 3.996245280134646638e+00 1.337022823964600038e+00
-8.385416666666667407e-01 7.945017273314338713e-01 1.183602517241506114e+00 3.995316147261810169e+00 1.331679630430263162e+00
-8.333333333333333703e-01 7.591193803704336940e-01 1.130094598314153043e+00 3.999942315047674057e+00 1.326393553385829538e+00
-8.281250000000000000e-01 7.257942278661515534e-01 1.079168288203540271e+00 4.009515947496542054e+00 1.321165980543782092e+00
-8.229166666666667407e-01 6.942877806786864614e-01 1.029981478607884915e+00 4.022402157925828448e+00 1.315995070652317134e+00
-8.177083333333333703e-01 6.645494267454638004e-01 9.828029021050483927e-01 4.039293411614381490e+00 1.310880733754000715e+00
-8.125000000000000000e-01 6.364597753104735967e-01 9.375441864390874347e-01 4.060208955577440548e+00 1.305821819033589515e+00
-8.072916666666667407e-01 6.099281972259446016e-01 8.941351416050860035e-01 4.085076186143681731e+00 1.300817235629625701e+00
-8.020833333333333703e-01 5.848492090055681381e-01 8.526234111864996468e-01 4.114281385109366695e+00 1.295865591547393780e+00
-7.968750000000000000e-01 5.611452781059286243e-01 8.130445223570520463e-01 4.148004589002074916e+00 1.290965482820253030e+00
-7.916666666666667407e-01 5.387153799054447134e-01 7.753343469684175204e-01 4.186320749701687660e+00 1.286115134312293851e+00
-7.864583333333333703e-01 5.174919424632249410e-01 7.395312947774292933e-01 4.229378676407117510e+00 1.281312940287612445e+00
-7.812500000000000000e-01 4.973998954227086822e-01 7.057103565344788887e-01 4.277493682844232481e+00 1.276557028938403393e+00
-7.760416666666667407e-01 4.783638257802871885e-01 6.738395331503657104e-01 4.330700299980591694e+00 1.271845434341202452e+00
-7.708333333333333703e-01 4.603297671129762958e-01 6.440601544454727101e-01 4.389351328573114941e+00 1.267176240636262552e+00
-7.656250000000000000e-01 4.432359379690418710e-01 6.161602089779603109e-01 4.452886067634479694e+00 1.262547380396364050e+00
-7.604166666666667407e-01 4.270298148608156485e-01 5.904893126259558311e-01 4.522242768454001194e+00 1.257956746739445686e+00
-7.552083333333333703e-01 4.116962178849660203e-01 5.669237865066443227e-01 4.596643507063647327e+00 1.253402589191736194e+00
-7.500000000000000000e-01 3.971382597641716083e-01 5.454047612571004677e-01 4.676389956728183250e+00 1.248882221517858326e+00
-7.447916666666667407e-01 3.833895935892424056e-01 5.262089320794337555e-01 4.761247194381588166e+00 1.244394291642983763e+00
-7.395833333333333703e-01 3.703596250648861221e-01 5.092180603216985846e-01 4.851349601470181128e+00 1.239936182079440785e+00
-7.343750000000000000e-01 3.580934544425987132e-01 4.946996082516840754e-01 4.946207798119067078e+00 1.235506605309508066e+00
-7.291666666666667407e-01 3.464864895058739069e-01 4.825534561742506057e-01 5.046291213713370638e+00 1.231102805182057391e+00
-7.239583333333333703e-01 3.355940127400248163e-01 4.729352494182958444e-01 5.150624191536265606e+00 1.226723684144194415e+00
-7.187500000000000000e-01 3.253831321649217068e-01 4.658771793319972931e-01 5.259101390936904430e+00 1.222367177557321938e+00
-7.135416666666667407e-01 3.158952088501795208e-01 4.615163146569550845e-01 5.370766838274980692e+00 1.218032184384237882e+00
-7.083333333333333703e-01 3.069964835855231167e-01 4.593381682899917440e-01 5.485722194511263083e+00 1.213715734353783882e+00
-7.031250000000000000e-01 2.988344886161168890e-01 4.603708494128510020e-01 5.603882397309273067e+00 1.209418055786979584e+00
-6.979166666666667407e-01 2.913311848831818818e-01 4.640106153561526781e-01 5.724277978286538726e+00 1.205136780661602236e+00
-6.927083333333333703e-01 2.845763662299951591e-01 4.703863996413564230e-01 5.845021879075309457e+00 1.200871204233884937e+00
-6.875000000000000000e-01 2.784591741600486170e-01 4.794141893789362618e-01 5.967610058939134099e+00 1.196619331548508969e+00
-6.822916666666667407e-01 2.731141729487464587e-01 4.912121598668928724e-01 6.089256041804741670e+00 1.192381162801848138e+00
-6.770833333333333703e-01 2.685114373399797860e-01 5.059925029886300774e-01 6.211063210173774607e+00 1.188155392471374583e+00
-6.718750000000000000e-01 2.646719584918006962e-01 5.233601633886945104e-01 6.330945619917889289e+00 1.183941189059387167e+00
-6.666666666666667407e-01 2.616279154016684094e-01 5.434751442267738986e-01 6.448645391350148692e+00 1.179737958914489626e+00
-6.614583333333333703e-01 2.593417539339862299e-01 5.652843768878025310e-01 6.560655360676173053e+00 1.175544655802945648e+00
-6.562500000000000000e-01 2.579337253417307574e-01 5.907713309830134873e-01 6.672639725748804373e+00 1.171361617481294859e+00
-6.510416666666667407e-01 2.573883288697434435e-01 6.186294912664701551e-01 6.779755549550786853e+00 1.167188147793464470e+00
-6.458333333333333703e-01 2.576571300986931767e-01 6.475095463997606604e-01 6.876937567727949840e+00 1.163023186043565804e+00
-6.406250000000000000e-01 2.589426890298033856e-01 6.786782470487960905e-01 6.965169345323144690e+00 1.158868218228801261e+00
-6.354166666666667407e-01 2.610045631626087825e-01 7.113745582708542736e-01 7.047513531987380730e+00 1.154720689497236830e+00
-6.302083333333333703e-01 2.640618050916488380e-01 7.458359329691299777e-01 7.119996156941350129e+00 1.150582509212181082e+00
-6.250000000000000000e-01 2.680300495122892035e-01 7.819442515879808653e-01 7.184993939210130520e+00 1.146452666678021259e+00
