#1.zgrid 2.kperp 3.omd_curv 4.omd_gradB
-7.000000000000000000e+00 1.307939625883331473e+03 -4.339708214032748401e+01 -5.198136970590436334e+01
-6.994791666666666963e+00 1.311604302518716167e+03 -5.250068622412054253e+01 -6.108907612548149757e+01
-6.989583333333333037e+00 1.311794307989297295e+03 -6.136690656273775346e+01 -6.996733284628619742e+01
-6.984375000000000000e+00 1.308585034971179994e+03 -6.983273431465042336e+01 -7.845276823372455510e+01
-6.979166666666666963e+00 1.302342752803407393e+03 -7.793812282253604451e+01 -8.658480588318765570e+01
-6.973958333333333037e+00 1.293245928939394389e+03 -8.759877732793295024e+01 -9.627870670878421322e+01
-6.968750000000000000e+00 1.281574089281094530e+03 -9.578443943823464224e+01 -1.045037091794391415e+02
-6.963541666666666963e+00 1.267589363565418580e+03 -1.024803037393986358e+02 -1.112445070369390976e+02
-6.958333333333333037e+00 1.251720244077450843e+03 -1.097234368627789678e+02 -1.185375931453637008e+02
-6.953125000000000000e+00 1.234100838696948813e+03 -1.178408117687927046e+02 -1.267095328611586069e+02
-6.947916666666666963e+00 1.215128298278046032e+03 -1.237606569500662488e+02 -1.326880167016595919e+02
-6.942708333333333037e+00 1.194995034744212035e+03 -1.287627306209167273e+02 -1.377523696209948980e+02
-6.937500000000000000e+00 1.173966883654274397e+03 -1.344258764983603953e+02 -1.434810529589336170e+02
-6.932291666666666963e+00 1.152362552966700378e+03 -1.398185769121681119e+02 -1.489420813917664645e+02
-6.927083333333333037e+00 1.130277218862182963e+03 -1.448972072407293012e+02 -1.540915270516953228e+02
-6.921875000000000000e+00 1.107892085635816784e+03 -1.491993475552837083e+02 -1.584666553751721096e+02
-6.916666666666666963e+00 1.085423290515423787e+03 -1.527533742627214224e+02 -1.620955268618432115e+02
-6.911458333333333037e+00 1.063007223354482903e+03 -1.578387463919578124e+02 -1.672573321684598966e+02
-6.906250000000000000e+00 1.040623590136485973e+03 -1.608091971356707859e+02 -1.703056440626340873e+02
